"id" "start" "end" "sex" "cod" "exposure" "n" "fu" "cases" "HR" "CI_left" "CI_right"
1020 "B95" "B98" "All" "All" 4 15981 33282.5651770342 1515 2.50797755060643 2.38468058620763 2.6376494322658
1020 "B95" "B98" "All" "All" 5 7513 22653.4663447863 825 2.0965132736762 1.95814713196038 2.24465661183493
1020 "B95" "B98" "All" "All" 6 2824 15627.7818025301 359 1.92194248576073 1.73300671197653 2.13147640631996
1021 "B99" "B99" "All" "All" 0 7378343 101621770.110996 1032310 1 NA NA
1021 "B99" "B99" "All" "All" 1 5099 2258.85105172543 703 12.7570973007085 11.8476791260082 13.7363216718527
1021 "B99" "B99" "All" "All" 2 4337 2100.52934351373 157 3.27827675458138 2.80353110793198 3.83341509898787
1021 "B99" "B99" "All" "All" 3 4144 3906.33938917584 231 2.72015722066877 2.39100577898876 3.09462041881213
1021 "B99" "B99" "All" "All" 4 3863 9880.9760760536 414 2.30759121476265 2.09562269687855 2.54099997217121
1021 "B99" "B99" "All" "All" 5 2906 11629.0643386481 290 1.75780122309549 1.56665869380186 1.97226438160421
1021 "B99" "B99" "All" "All" 6 1832 9852.85516880006 168 1.54941649740797 1.33193901726303 1.80240345190359
10001 "A00" "A00" "All" "All" 0 7378476 101656107.643948 1034153 1 NA NA
10001 "A00" "A00" "All" "All" 1 400 191.535908376374 21 5.27456202058013 3.43916455494612 8.08946593408416
10001 "A00" "A00" "All" "All" 2 389 189.861673777977 5 1.34844808757779 0.561229151943769 3.23987490420736
10001 "A00" "A00" "All" "All" 3 402 381.358013324351 17 2.37970463524787 1.47925156826546 3.82828335119531
10001 "A00" "A00" "All" "All" 4 460 1116.49955086459 31 1.59548134640279 1.12203655575803 2.26869678501653
10001 "A00" "A00" "All" "All" 5 363 1543.00463358036 27 1.35368588659272 0.928325297833961 1.97394758479164
10001 "A00" "A00" "All" "All" 6 256 1868.82263642488 19 1.56179320500412 0.996186279691737 2.4485360468444
10002 "A01" "A01" "All" "All" 0 7378339 101650460.12203 1034078 1 NA NA
10002 "A01" "A01" "All" "All" 1 985 466.160251515832 25 6.88570659274913 4.65266277170064 10.1904989912042
10002 "A01" "A01" "All" "All" 2 949 453.975058013325 9 2.67126044710937 1.38988032069102 5.13399050987589
10002 "A01" "A01" "All" "All" 3 953 882.841866906206 19 2.89911839826598 1.84920196539441 4.54514306411718
10002 "A01" "A01" "All" "All" 4 999 2375.97202634928 53 2.99555445698782 2.28850684230059 3.92104858019953
10002 "A01" "A01" "All" "All" 5 765 3251.53801931282 31 1.18427250584667 0.832852655370105 1.68397298016791
10002 "A01" "A01" "All" "All" 6 541 3508.11711205928 58 2.15804990849196 1.66833116239278 2.79151976089847
10003 "A02" "A02" "All" "All" 0 7375946 101579663.987222 1032365 1 NA NA
10003 "A02" "A02" "All" "All" 1 5237 2423.12724754847 253 6.74857620229334 5.96608593711845 7.63369506208568
10003 "A02" "A02" "All" "All" 2 5028 2431.57380791975 75 2.04273965191069 1.62899655181178 2.56156790562093
10003 "A02" "A02" "All" "All" 3 5412 4983.55373156674 148 1.92924361706773 1.64214850187478 2.26653127274868
10003 "A02" "A02" "All" "All" 4 6697 16418.4541582454 433 1.73824451656166 1.58195420065023 1.90997564791368
